Node_Index,Grid_Z_m,Coord_Xi,Psi_M_Meso,Psi_W_Wave,Psi_T_Turb
0,1071.5,1.0,0.9999999422225181,5.7777481854426135e-8,5.551134313715994e-17
1,1071.3243331497667,0.9951847266721969,0.9999996940977731,3.0590222693804307e-7,-5.550575139621908e-17
2,1070.773440375688,0.9807852804032304,0.9999983804058308,1.6195941692219312e-6,1.5161889755851976e-19
3,1069.7707255668133,0.9569403357322088,0.9999914251344263,8.574865573702988e-6,4.247023197533062e-18
4,1068.1709276317752,0.9238795325112867,0.9999546021312975,4.539786870232681e-5,1.7459043108805639e-16
5,1065.7292575238625,0.881921264348355,0.9997596882871811,0.00024031171281557062,3.337445337453504e-15
6,1062.0483971019335,0.8314696123025452,0.9987289837369187,0.0012710162629878908,9.34573599065125e-14
7,1056.4918036406916,0.773010453362737,0.9933071490757152,0.006692850921679305,2.6055381810441425e-12
8,1048.04724607681,0.7071067811865476,0.9655548043337888,0.03444519559521434,7.099684035116738e-11
9,1035.1236058633008,0.6343932841636455,0.8411308951190848,0.15886910314721517,1.733700044637132e-9
10,1015.2786292748683,0.5555702330196023,0.5,0.49999997111125905,2.888874095496874e-8
11,984.9344808388071,0.4713967368259978,0.15886910488091516,0.8411306378152709,2.573038139219719e-7
12,939.2924000034349,0.38268343236508984,0.03444519566621118,0.9655532405268576,1.5638069311707525e-6
13,872.9360483441951,0.29028467725446233,0.006692850924284843,0.9932986316004384,8.517475276748065e-6
14,781.8229393471652,0.19509032201612833,0.0012710162630813482,0.9986836435696456,4.5340167273089094e-5
15,666.779365484509,0.09801714032956077,0.00024031171281890806,0.9995194343240815,0.00024025396309956815
16,536.5000000000001,6.123233995736766e-17,4.539786870244589e-5,0.9986836435696456,0.0012709585616519359
17,406.2206345154912,-0.09801714032956065,8.574865573707235e-6,0.9932986316004384,0.006692793533987884
18,291.177060652835,-0.1950903220161282,1.6195941692220828e-6,0.9655532405268576,0.03444513987897313
19,200.06395165580494,-0.29028467725446216,3.0590222693804847e-7,0.8411306378152709,0.15886905628250225
20,133.7075999965652,-0.3826834323650897,5.777748185442633e-8,0.49999997111125905,0.49999997111125905
21,88.06551916119287,-0.4713967368259977,1.0912757253400684e-8,0.15886910314721517,0.8411308859400276
22,57.72137072513175,-0.555570233019602,2.0611536366565986e-9,0.03444519559521434,0.965554802343632
23,37.876394136699105,-0.6343932841636454,3.8930164647510423e-10,0.006692850921679305,0.993307148689019
24,24.952753923189846,-0.7071067811865475,7.352957132056304e-11,0.0012710162629878908,0.9987289836634825
25,16.508196359308272,-0.773010453362737,1.3887946348489777e-11,0.00024031171281557062,0.9997596882732964
26,10.951602898066653,-0.8314696123025453,2.623068429130626e-12,4.539786870232681e-5,0.9999546021286747
27,7.2707424761375705,-0.8819212643483549,4.954370247389761e-13,8.574865573702988e-6,0.9999914251339309
28,4.829072368224729,-0.9238795325112867,9.35918009759007e-14,1.6195941692219312e-6,0.9999983804057372
29,3.2292744331865606,-0.9569403357322088,1.765254609153999e-14,3.0590222693804307e-7,0.9999996940977555
30,2.2265596243119035,-0.9807852804032304,3.3306690738754696e-15,5.7777481854426135e-8,0.9999999422225149
31,1.675666850233256,-0.9951847266721968,6.106226635438361e-16,1.0912757253400678e-8,0.9999999890872421
32,1.5,-1.0,1.1102230246251565e-16,2.061153636656598e-9,0.9999999979388463
